geometry,@id,description,landuse,man_made,name,operator,operator:wikipedia,website,building,ref:bag,source,source:date,start_date,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,heritage,note,substance,wikidata,wikimedia_commons,wikipedia,architect,heritage:operator,ref,historic,pumping_station,full_name,height,alt_name,access,layer,ref:rce,location,operator:wikidata,basin,building:levels:underground,capacity,product,natural,water,area,phone,entrance,drinking_water,pump,pump:status,pipeline,substation,handle,mechanical_driver,pump_mechanism
"POLYGON ((4.8565667 52.3362241, 4.8565399 52.3362441, 4.8565219 52.3362509, 4.856504 52.3362576, 4.8564628 52.3362633, 4.8564574 52.3362634, 4.8564464 52.3362632, 4.8564302 52.3362619, 4.8564144 52.3362592, 4.8563992 52.3362554, 4.8563896 52.3362522, 4.8563761 52.3362465, 4.8563679 52.3362421, 4.8563602 52.3362373, 4.8563533 52.3362321, 4.8563471 52.3362266, 4.8563417 52.3362208, 4.8563371 52.3362147, 4.8563334 52.3362084, 4.8563306 52.3362019, 4.8563287 52.3361953, 4.8563277 52.3361887, 4.8563276 52.336182, 4.8563285 52.3361753, 4.8563315 52.3361654, 4.8563347 52.336159, 4.8563387 52.3361528, 4.8563436 52.3361468, 4.8563464 52.3361439, 4.8563525 52.3361383, 4.856363 52.3361307, 4.8563709 52.336126, 4.8563839 52.3361199, 4.8563932 52.3361164, 4.856408 52.336112, 4.8564236 52.3361089, 4.8564397 52.336107, 4.8564561 52.3361064, 4.856467 52.3361067, 4.8564832 52.3361082, 4.8564938 52.3361099, 4.8565091 52.3361135, 4.8565188 52.3361166, 4.8565281 52.3361201, 4.856541 52.3361263, 4.8565525 52.3361335, 4.8565593 52.3361387, 4.8565654 52.3361443, 4.8565681 52.3361472, 4.856575 52.3361563, 4.8565786 52.3361626, 4.85658 52.3361659, 4.8565812 52.3361691, 4.856583 52.3361757, 4.8565838 52.3361824, 4.8565837 52.3361891, 4.8565833 52.3361925, 4.8565818 52.3361991, 4.8565778 52.3362088, 4.856576 52.336212, 4.8565718 52.3362182, 4.8565667 52.3362241))",way/277416375,,,water_tower,Watertoren Amstelveenseweg,Waternet,,,water_tower,363100012216977,BAG,2014-03-24,1965,,,,,,,,,Q1921456,File:Amsterdam_Watertoren_Amstelveenseweg.jpg,nl:Watertoren Amstelveenseweg,,,,,,,40 m,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9484823 52.3455248, 4.9484846 52.3455265, 4.9484851 52.3455284, 4.948484 52.3455305, 4.9484819 52.345532, 4.9484516 52.3455445, 4.9484086 52.3455194, 4.9484277 52.3455001, 4.9484302 52.3454985, 4.948433 52.3454979, 4.9484365 52.3454983, 4.9484393 52.3454997, 4.9484535 52.345508, 4.9484684 52.3455167, 4.9484823 52.3455248))",way/279833485,,,pumping_station,,Waternet,,,yes,363100012195034,BAG,2014-03-24,1941,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9504376 52.3469604, 4.9503931 52.3469891, 4.9503881 52.3469861, 4.9503026 52.3469353, 4.9503062 52.3469331, 4.9503177 52.346926, 4.9503241 52.346922, 4.950348 52.3469071, 4.9503943 52.3469351, 4.950426 52.3469537, 4.9504376 52.3469604))",way/279833581,,,pumping_station,,,,,yes,363100012184115,BAG,2014-03-24,2001,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9287577 52.340999, 4.9287396 52.3410104, 4.9287284 52.3410174, 4.9287246 52.3410199, 4.9287217 52.3410217, 4.9286802 52.340997, 4.9287028 52.3409827, 4.9287162 52.3409743, 4.9287323 52.3409839, 4.9287577 52.340999))",way/279841197,,,pumping_station,,Waternet,,,yes,363100012116666,BAG,2014-03-24,1942,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9262531 52.3411691, 4.9262498 52.3411711, 4.9262195 52.3411901, 4.9261559 52.341152, 4.9261923 52.3411293, 4.926213 52.3411164, 4.9262511 52.3410927, 4.9263146 52.3411307, 4.9263117 52.3411326, 4.9262731 52.3411559, 4.9262531 52.3411691))",way/279842069,,,pumping_station,,Waternet,,,yes,363100012134980,BAG,2014-03-24,1958,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9665893 52.3736912, 4.9665862 52.3736928, 4.9666079 52.3737084, 4.9664303 52.3737754, 4.9664161 52.3737829, 4.9664142 52.3737815, 4.9664065 52.3737844, 4.9664052 52.3737845, 4.9661521 52.3736055, 4.9663319 52.3735086, 4.9663775 52.3735037, 4.9665187 52.3736411, 4.9665893 52.3736912))",way/280034289,,,pumping_station,Booster,,,,yes,363100012183134,BAG,2014-05-07,2004,,,,,,,,sewage,,,,,,,,,,,Boostergemaal Oost,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9093566 52.4087514, 4.9093007 52.4087802, 4.909242 52.4088104, 4.909096 52.408704, 4.9091445 52.408679, 4.9092107 52.408645, 4.9093566 52.4087514))",way/280570147,,,pumping_station,Gemaal Kadoelen,,,,yes,0363100012224235,BAG,2014-05-07,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9515812 52.4010178, 4.951503 52.4010492, 4.9514575 52.401007, 4.9515528 52.4009688, 4.9515981 52.401011, 4.9515812 52.4010178))",way/280764133,,,pumping_station,Gemaal Jisperveldstraat,Hoogheemraadschap Hollands Noorderkwartier,,,,363100012206281,BAG,2014-05-07,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((5.0021918 52.3968876, 5.0021941 52.3968889, 5.0021961 52.3968907, 5.0021973 52.3968928, 5.0021975 52.3968951, 5.0021973 52.3968962, 5.0021962 52.3968983, 5.0021942 52.3969001, 5.0021915 52.3969016, 5.0021866 52.396903, 5.002183 52.3969032, 5.0021794 52.3969028, 5.0021761 52.3969019, 5.0021733 52.3969005, 5.0021711 52.3968987, 5.0021698 52.3968967, 5.0021695 52.3968934, 5.0021705 52.3968912, 5.0021723 52.3968893, 5.0021748 52.3968877, 5.002178 52.3968866, 5.0021815 52.396886, 5.0021869 52.3968862, 5.0021918 52.3968876))",way/280867853,,,pumping_station,,,,,yes,363100012187511,BAG,2014-05-07,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((5.0247905 52.4122589, 5.024787 52.412259, 5.0247837 52.4122586, 5.0247792 52.412257, 5.0247768 52.4122555, 5.0247751 52.4122536, 5.0247742 52.4122516, 5.0247746 52.4122483, 5.0247758 52.4122463, 5.0247791 52.4122438, 5.0247821 52.4122426, 5.0247871 52.4122418, 5.0247922 52.4122421, 5.0247953 52.4122429, 5.024798 52.4122442, 5.0248001 52.4122458, 5.0248016 52.4122477, 5.0248022 52.4122498, 5.0248021 52.4122519, 5.024801 52.4122539, 5.0247992 52.4122557, 5.0247968 52.4122572, 5.0247938 52.4122583, 5.0247905 52.4122589))",way/280867855,,,pumping_station,,,,,yes,363100012200490,BAG,2014-05-07,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9626162 52.3558436, 4.9626914 52.3558148, 4.9626936 52.3558169, 4.9627386 52.3558612, 4.9627402 52.3558628, 4.9627421 52.3558647, 4.9627456 52.3558681, 4.9627639 52.3558861, 4.9627466 52.3558927, 4.9627034 52.3559092, 4.9626897 52.3559145, 4.9626886 52.3559149, 4.9626648 52.3558915, 4.9626606 52.3558873, 4.9626205 52.3558479, 4.9626162 52.3558436))",way/281402221,,,pumping_station,,"Waterschap Amstel, Gooi en Vecht",,,yes,0363100012217994,BAG,2021-08-31,1946,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((5.0009042 52.3099777, 5.0008649 52.3099941, 5.0008097 52.3099446, 5.0009594 52.309882, 5.0010146 52.3099314, 5.0009469 52.3099598, 5.0009042 52.3099777))",way/282274085,,,pumping_station,Zuid Bijlmer,,,,yes,363100012214151,BAG,2014-05-07,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9163062 52.3384232, 4.9162956 52.3384257, 4.9162744 52.338427, 4.9162537 52.3384237, 4.9162335 52.3384146, 4.9162223 52.3384036, 4.9162179 52.338391, 4.9162208 52.3383781, 4.9162313 52.3383661, 4.9162474 52.3383575, 4.9162734 52.3383523, 4.9162947 52.3383533, 4.9163152 52.3383592, 4.91633 52.3383686, 4.9163403 52.3383864, 4.9163384 52.3383994, 4.9163234 52.3384156, 4.9163062 52.3384232))",way/458093529,,,water_tower,Watertoren Zuidergasfabriek,,,,,,,,,,,,,,2,,,Q2085265,File:WATERTOREN van de Zuidergasfabriek.jpg,nl:Watertoren (Amsterdam Spaklerweg),,rce,,,,,45,,no,1,526948,,,,,,,,,,,,,,,,,,,
"POLYGON ((5.0092469 52.4140588, 5.009238 52.4140499, 5.0092418 52.4140433, 5.0092585 52.4140413, 5.0092686 52.4140511, 5.0092603 52.4140588, 5.0092469 52.4140588))",way/471509522,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8456238 52.3768277, 4.8456359 52.3768068, 4.8456719 52.3768145, 4.8456598 52.3768354, 4.8456238 52.3768277))",way/624439357,,,water_works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9914599 52.3224982, 4.9915099 52.3224277, 4.9915676 52.322443, 4.9915962 52.3224029, 4.9917171 52.3224355, 4.9916902 52.3224723, 4.9917239 52.3224816, 4.991668 52.322558, 4.9916346 52.3225488, 4.9916166 52.3225735, 4.9914976 52.322541, 4.9915168 52.3225131, 4.9914821 52.3225041, 4.9914599 52.3224982))",way/813291747,,,pumping_station,gemaal Bijlmer Zandpad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8784277 52.3956955, 4.8784489 52.3956795, 4.878473 52.3956915, 4.8784526 52.3957068, 4.8784277 52.3956955))",way/847950352,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8830482 52.3979537, 4.8830684 52.3979641, 4.8830509 52.3979767, 4.8830308 52.3979663, 4.8830482 52.3979537))",way/848014707,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.88226 52.3975468, 4.8822754 52.3975547, 4.8822621 52.3975642, 4.8822468 52.3975563, 4.88226 52.3975468))",way/848020100,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8811647 52.3970016, 4.8811369 52.396987, 4.8811551 52.396974, 4.881183 52.3969887, 4.8811647 52.3970016))",way/848033770,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8723161 52.3987776, 4.8723234 52.3987647, 4.8723453 52.3987693, 4.872338 52.3987823, 4.8723161 52.3987776))",way/848883129,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8707043 52.4000321, 4.870711 52.400019, 4.8707332 52.4000232, 4.8707265 52.4000363, 4.8707043 52.4000321))",way/848915758,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8713438 52.4001662, 4.8713505 52.4001531, 4.8713727 52.4001573, 4.871366 52.4001704, 4.8713438 52.4001662))",way/848915870,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8718228 52.3996543, 4.8718301 52.3996413, 4.871852 52.399646, 4.8718447 52.3996589, 4.8718228 52.3996543))",way/848915871,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8721421 52.3990966, 4.8721494 52.3990837, 4.8721713 52.3990883, 4.872164 52.3991012, 4.8721421 52.3990966))",way/848915894,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8707251 52.3988257, 4.8707338 52.3988086, 4.8707505 52.3988117, 4.8707418 52.3988289, 4.8707251 52.3988257))",way/848931774,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8720985 52.3966648, 4.8721072 52.3966443, 4.872135 52.3966488, 4.8721262 52.3966694, 4.8720985 52.3966648))",way/849443956,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8616326 52.3956015, 4.861657 52.3955879, 4.8616825 52.3956048, 4.8616581 52.3956185, 4.8616326 52.3956015))",way/850445204,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8593947 52.3965156, 4.8593888 52.3965107, 4.8593824 52.3965053, 4.8593956 52.3964994, 4.859413 52.3964917, 4.8594312 52.3964836, 4.8594452 52.3964774, 4.8594515 52.3964827, 4.8594575 52.3964878, 4.8594435 52.396494, 4.8594256 52.3965019, 4.859408 52.3965097, 4.8593947 52.3965156))",way/850486481,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8751247 52.4002814, 4.8751355 52.4002623, 4.875155 52.4002664, 4.8751442 52.4002855, 4.8751247 52.4002814))",way/851995595,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8612888 52.392818, 4.8612587 52.3928157, 4.8612616 52.3928015, 4.8612917 52.3928038, 4.8612888 52.392818))",way/854264642,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8730334 52.4045541, 4.873049 52.4045483, 4.873065 52.4045544, 4.8730422 52.4045629, 4.8730334 52.4045541))",way/857910142,,,pumping_station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8570608 52.4054958, 4.8570442 52.4054814, 4.8570962 52.4054592, 4.8571127 52.4054736, 4.8570608 52.4054958))",way/858302590,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8612431 52.4044336, 4.8612173 52.4044125, 4.8612428 52.4044009, 4.8612685 52.404422, 4.8612431 52.4044336))",way/858682170,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8643746 52.4025987, 4.8643586 52.4025871, 4.8643867 52.4025726, 4.8643788 52.4025669, 4.8643992 52.4025564, 4.8644231 52.4025736, 4.8643746 52.4025987))",way/859240871,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8668265 52.4041602, 4.8668169 52.4041522, 4.8668402 52.4041418, 4.8668498 52.4041498, 4.8668265 52.4041602))",way/859326746,,,pumping_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
